***  
*   Special particles used to compose "quasi-particles" such as scalar states that are then built from K-matrix poles
*     
*
***
*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       91,   0, ,R,X(S)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       92,   0, ,R,X(P)         ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       93,   0, ,R,X(V)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       94,   0, ,R,X(A)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       95,   0, ,R,X(T)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       96,   0, ,R,X(PT)          ,cC 
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       991,   0, ,R,X2(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       992,   0, ,R,X2(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       993,   0, ,R,X2(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       994,   0, ,R,X2(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       995,   0, ,R,X2(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       996,   0, ,R,X2(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       9991,   0, ,R,X3(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       9992,   0, ,R,X3(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       9993,   0, ,R,X3(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       9994,   0, ,R,X3(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       9995,   0, ,R,X3(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       9996,   0, ,R,X3(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       99991,   0, ,R,X4(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       99992,   0, ,R,X4(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       99993,   0, ,R,X4(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       99994,   0, ,R,X4(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       99995,   0, ,R,X4(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       99996,   0, ,R,X4(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       999991,   0, ,R,X5(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       999992,   0, ,R,X5(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       999993,   0, ,R,X5(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       999994,   0, ,R,X5(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       999995,   0, ,R,X5(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       999996,   0, ,R,X5(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       9999991,   0, ,R,X6(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       9999992,   0, ,R,X6(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       9999993,   0, ,R,X6(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       9999994,   0, ,R,X6(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       9999995,   0, ,R,X6(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       9999996,   0, ,R,X6(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       99999991,   0, ,R,X7(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       99999992,   0, ,R,X7(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       99999993,   0, ,R,X7(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       99999994,   0, ,R,X7(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       99999995,   0, ,R,X7(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       99999996,   0, ,R,X7(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       999999991,   0, ,R,X8(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       999999992,   0, ,R,X8(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       999999993,   0, ,R,X8(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       999999994,   0, ,R,X8(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       999999995,   0, ,R,X8(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       999999996,   0, ,R,X8(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       9999999991,   0, ,R,X9(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       9999999992,   0, ,R,X9(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       9999999993,   0, ,R,X9(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       9999999994,   0, ,R,X9(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       9999999995,   0, ,R,X9(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       9999999996,   0, ,R,X9(PT)          ,cC
***
***
